Filename	Category_Code	Column_Number	Data_Label	Data_Label_Source	Control_Vocab_Cd
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	33	TPX2-blunt_p130		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	34	TPX2-blunt_p131		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	35	TPX2-blunt_p132		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	36	TPX2-GFP_p130		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	37	TPX2-GFP_p131		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	38	TPX2-GFP_p132		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	39	TPX2-MCS_p130		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	40	TPX2-MCS_p131		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	41	Untreated_p129		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	42	Untreated_p130		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	43	Untreated_p132		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	44	MLH1_0-2_and_AURKA_px_and_14		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	45	MLH1_0-2_and_AURKA_px_and_17		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	46	MLH1_0-2_and_AURKA_px_and_24		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	47	MLH1_0-2_and_AURKA_px_and_27		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	48	MLH1_1-2_and_AURKA_px_and_14		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	49	MLH1_1-2_and_AURKA_px_and_17		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	50	MLH1_1-2_and_AURKA_px_and_27		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	51	MLH1_1-2_and_AURKA_pCMV6-GFP_px_and_24		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	52	MLH1_1-2_and_AURKA_pCMV6-GFP_px_and_25		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	53	MLH1_1-2_and_AURKA_TPX2-blunt_px_and_24		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	54	MLH1_1-2_and_AURKA_TPX2-blunt_px_and_25		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	55	MLH1_1-2_and_AURKA_TPX2-GFP_px_and_24		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	56	MLH1_1-2_and_AURKA_TPX2-GFP_px_and_25		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	57	MLH1_1-2_and_AURKA_TPX2-MCS_px_and_24		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	58	MLH1_1-2_and_AURKA_TPX2-MCS_px_and_25		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	59	MLH1_1-2_and_AURKA_px_and_24		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	60	and_AURKA_px_and_88		
Cell-line_NHTMP.txt	4._Molecular_profiling+RNA_expression+qRT-PCR:_TPX2+HCT116	61	and_AURKA_px_and_89		
Cell-line_clinical.txt	Subjects	1	SUBJ_ID		
Cell-line_clinical.txt	1._Cell_line_characteristics+1._Cell_lines	2	Cell_line_name		
Cell-line_clinical.txt	1._Cell_line_characteristics+1._Cell_lines	3	Organism		
Cell-line_clinical.txt	1._Cell_line_characteristics+2._Tumor	4	Origin_tissue		
Cell-line_clinical.txt	1._Cell_line_characteristics+2._Tumor	5	Cell_type		
Cell-line_clinical.txt	1._Cell_line_characteristics+2._Tumor	6	Disease		
Cell-line_clinical.txt	1._Cell_line_characteristics+1._Cell_lines	7	Race		
Cell-line_clinical.txt	1._Cell_line_characteristics+1._Cell_lines	8	Age		
Cell-line_clinical.txt	1._Cell_line_characteristics+1._Cell_lines	9	Gender		
Cell-line_clinical.txt	1._Cell_line_characteristics+3._Cell_line_constructs+Ectopic_expression	10	Ectopic_MLH1_expression		
Cell-line_clinical.txt	1._Cell_line_characteristics+3._Cell_line_constructs+Gene_silencing	11	AURKA_silencing		
Cell-line_clinical.txt	1._Cell_line_characteristics+4._Treatments	12	DMSO_Control		
Cell-line_clinical.txt	1._Cell_line_characteristics+4._Treatments	14	siRNA_non-targeting		
Cell-line_clinical.txt	1._Cell_line_characteristics+4._Treatments	13	Untreated		
